Timestamp,Sensor_1,Sensor_2
7/20/2026 11:03,11.19,11.73
7/20/2026 11:03,10.68,11.73
7/20/2026 11:03,10.78,11.73
7/20/2026 11:03,10.87,11.73
7/20/2026 11:03,10.87,11.73
7/20/2026 11:03,10.85,11.73
7/20/2026 11:03,10.85,11.73
7/20/2026 11:03,10.8,11.73
7/20/2026 11:03,10.83,11.73
7/20/2026 11:03,11.02,11.73
7/20/2026 11:03,11.19,11.73
7/20/2026 11:03,11.34,11.71
7/20/2026 11:03,11.34,11.71
7/20/2026 11:03,11.31,11.71
7/20/2026 11:03,11.34,11.71
7/20/2026 11:03,11.36,11.71
7/20/2026 11:03,11.39,11.71
7/20/2026 11:03,11.39,11.71
7/20/2026 11:03,11.34,11.71
7/20/2026 11:03,11.34,11.71
7/20/2026 11:04,11.36,11.71
7/20/2026 11:04,11.36,11.71
7/20/2026 11:04,11.36,11.71
7/20/2026 11:04,11.34,11.71
7/20/2026 11:04,11.34,11.71
7/20/2026 11:04,11.34,11.73
7/20/2026 11:04,11.34,11.71
7/20/2026 11:04,11.34,11.71
7/20/2026 11:04,11.31,11.71
7/20/2026 11:04,11.29,11.71
7/20/2026 11:04,11.29,11.71
7/20/2026 11:04,11.31,11.71
7/20/2026 11:04,11.29,11.71
7/20/2026 11:04,11.29,11.71
7/20/2026 11:04,11.29,11.71
7/20/2026 11:04,11.34,11.71
7/20/2026 11:04,11.19,11.71
7/20/2026 11:04,11.07,11.71
7/20/2026 11:04,11.85,11.71
7/20/2026 11:04,11.88,11.8
7/20/2026 11:04,11.9,11.85
7/20/2026 11:04,11.9,11.85
7/20/2026 11:04,11.9,11.85
7/20/2026 11:04,11.9,11.85
7/20/2026 11:04,11.9,11.85
7/20/2026 11:04,11.9,11.85
7/20/2026 11:04,11.9,11.85
7/20/2026 11:04,11.9,11.85
7/20/2026 11:04,11.9,11.85
7/20/2026 11:04,11.9,11.85
7/20/2026 11:04,11.9,11.83
7/20/2026 11:04,11.9,11.85
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.85
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.85
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.85
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.85
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.93,11.85
7/20/2026 11:04,11.9,11.85
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.9,11.88
7/20/2026 11:04,11.93,11.88
7/20/2026 11:05,11.9,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.9,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.9,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.9,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.9,11.88
7/20/2026 11:05,11.9,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.9,11.88
7/20/2026 11:05,11.9,11.88
7/20/2026 11:05,11.9,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.9,11.88
7/20/2026 11:05,11.93,11.9
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.9,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.93,11.9
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.9,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.93,11.88
7/20/2026 11:05,11.93,11.88
